Category,Question,Answer
Platform Functionality,how to check transaction details  of webinar?,"you can check your transaction details through the graphy dashboard by following these steps:
dashboard → reports → transaction → more + → filter by → products → webinar → apply filter"
Platform Functionality,how to check upcoming webinars?,"for learners, they will receive an email notification and can log in to your website to view their upcoming webinars:
login → dashboard → webinar → upcoming webinars"
Platform Functionality,how to share the link of upcoming webinars?,"you can also share the webinar link directly:
dashboard → products → webinars → click on the three dots for the webinar → share → copy link"
Platform Functionality,how to delete the course from website?,"steps to delete a course
log in to your graphy dashboard

open your graphy account and log in using your admin credentials.
go to the content section

navigate to dashboard > products > courses.
select the course to delete

find the course you wish to delete from the list of courses. click on the course name to open its settings.
navigate to the advanced section

in the course settings, go to the advanced section.
scroll to the bottom of the page

at the bottom of the advanced section, you will find the delete course option.
confirm the deletion

click on delete course and confirm the action when prompted.
important notes
this action will permanently delete the course from your platform.
learners who have already purchased the course will still have access to it until their subscription ends."
Platform Functionality,how to delete uploaded course?,"steps to delete a course
log in to your graphy dashboard

open your graphy account and log in using your admin credentials.
go to the content section

navigate to dashboard > products > courses.
select the course to delete

find the course you wish to delete from the list of courses. click on the course name to open its settings.
navigate to the advanced section

in the course settings, go to the advanced section.
scroll to the bottom of the page

at the bottom of the advanced section, you will find the delete course option.
confirm the deletion

click on delete course and confirm the action when prompted.
important notes
this action will permanently delete the course from your platform.
learners who have already purchased the course will still have access to it until their subscription ends."
Platform Functionality,how to delete any course from graphy platform?,"steps to delete a course
log in to your graphy dashboard

open your graphy account and log in using your admin credentials.
go to the content section

navigate to dashboard > products > courses.
select the course to delete

find the course you wish to delete from the list of courses. click on the course name to open its settings.
navigate to the advanced section

in the course settings, go to the advanced section.
scroll to the bottom of the page

at the bottom of the advanced section, you will find the delete course option.
confirm the deletion

click on delete course and confirm the action when prompted.
important notes
this action will permanently delete the course from your platform.
learners who have already purchased the course will still have access to it until their subscription ends."
Platform Functionality,how to delete a course in home page?,"steps to delete a course
log in to your graphy dashboard

open your graphy account and log in using your admin credentials.
go to the content section

navigate to dashboard > products > courses.
select the course to delete

find the course you wish to delete from the list of courses. click on the course name to open its settings.
navigate to the advanced section

in the course settings, go to the advanced section.
scroll to the bottom of the page

at the bottom of the advanced section, you will find the delete course option.
confirm the deletion

click on delete course and confirm the action when prompted.
important notes
this action will permanently delete the course from your platform.
learners who have already purchased the course will still have access to it until their subscription ends."
Platform Functionality,why my zoom is not working?,"i hope you’re doing well.

for detailed information on zoom integration, please refer to the update article linked below. this article provides comprehensive guidance on setting up and using zoom with our platform:
https://help.graphy.com/hc/en-us/articles/21341902700957-how-to-integrate-an-external-zoom-license-with-your-graphy-platform

if you have any questions or need further assistance after reviewing the article, please don't hesitate to reach out.

regards,
graphy support
"
Platform Functionality,zoom integration issue,"i hope you’re doing well.

for detailed information on zoom integration, please refer to the update article linked below. this article provides comprehensive guidance on setting up and using zoom with our platform:
https://help.graphy.com/hc/en-us/articles/21341902700957-how-to-integrate-an-external-zoom-license-with-your-graphy-platform

if you have any questions or need further assistance after reviewing the article, please don't hesitate to reach out.

regards,
graphy support
"
Platform Functionality,facing issue with integrating zoom.,"i hope you’re doing well.

for detailed information on zoom integration, please refer to the update article linked below. this article provides comprehensive guidance on setting up and using zoom with our platform:
https://help.graphy.com/hc/en-us/articles/21341902700957-how-to-integrate-an-external-zoom-license-with-your-graphy-platform

if you have any questions or need further assistance after reviewing the article, please don't hesitate to reach out.

regards,
graphy support
"
Platform Functionality,zoom integration support,"i hope you’re doing well.

for detailed information on zoom integration, please refer to the update article linked below. this article provides comprehensive guidance on setting up and using zoom with our platform:
https://help.graphy.com/hc/en-us/articles/21341902700957-how-to-integrate-an-external-zoom-license-with-your-graphy-platform

if you have any questions or need further assistance after reviewing the article, please don't hesitate to reach out.

regards,
graphy support
"
Platform Functionality,i want to connect zoom to graphy,"i hope you’re doing well.

for detailed information on zoom integration, please refer to the update article linked below. this article provides comprehensive guidance on setting up and using zoom with our platform:
https://help.graphy.com/hc/en-us/articles/21341902700957-how-to-integrate-an-external-zoom-license-with-your-graphy-platform

if you have any questions or need further assistance after reviewing the article, please don't hesitate to reach out.

regards,
graphy support
"
Platform Functionality,integrated zoom on graphy not working,"i hope you’re doing well.

for detailed information on zoom integration, please refer to the update article linked below. this article provides comprehensive guidance on setting up and using zoom with our platform:
https://help.graphy.com/hc/en-us/articles/21341902700957-how-to-integrate-an-external-zoom-license-with-your-graphy-platform

if you have any questions or need further assistance after reviewing the article, please don't hesitate to reach out.

regards,
graphy support
"
Platform Functionality,zoom license integration urgent,"i hope you’re doing well.

for detailed information on zoom integration, please refer to the update article linked below. this article provides comprehensive guidance on setting up and using zoom with our platform:
https://help.graphy.com/hc/en-us/articles/21341902700957-how-to-integrate-an-external-zoom-license-with-your-graphy-platform

if you have any questions or need further assistance after reviewing the article, please don't hesitate to reach out.

regards,
graphy support
"
